产品ID,SKU,产品名称,数据类型,项目,值
3,BIKE-TRAINER-001,Bicycle Riding Platform,核心卖点,High Quality Carbon Steel,Park Firmly
3,BIKE-TRAINER-001,Bicycle Riding Platform,核心卖点,Waterproof and Rustproof,Durable
3,BIKE-TRAINER-001,Bicycle Riding Platform,核心卖点,Powder Coating Technology,Long Lasting
3,BIKE-TRAINER-001,Bicycle Riding Platform,核心卖点,900W Power,Adjustable Resistance
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Apply,26-29 inch and 700C Bikes
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Material,Steel Frame
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Color,Black
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Weight,9KG/ PC
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Load Capacity,150 KG
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Noise Level,85d B
3,BIKE-TRAINER-001,Bicycle Riding Platform,产品规格,Power,900 W
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Main Body,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Motor,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Regulator,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Wrench,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Front Wheel Pad,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Screw Kit,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Inner Hexagon,
3,BIKE-TRAINER-001,Bicycle Riding Platform,包装清单,Quick Release Lever,
3,BIKE-TRAINER-001,Bicycle Riding Platform,功能亮点,Folding Storage,Easy to store anywhere
3,BIKE-TRAINER-001,Bicycle Riding Platform,功能亮点,Quick Mount,Triangular construction
3,BIKE-TRAINER-001,Bicycle Riding Platform,功能亮点,Adjustable Resistance,Quiet workouts
3,BIKE-TRAINER-001,Bicycle Riding Platform,功能亮点,Resistance Modes,Multiple training modes
3,BIKE-TRAINER-001,Bicycle Riding Platform,功能亮点,Pressure Regulator,Precise adjustments
3,BIKE-TRAINER-001,Bicycle Riding Platform,适配尺寸,External Dimensions,40 x 47 x 55 CM
3,BIKE-TRAINER-001,Bicycle Riding Platform,适配尺寸,Wheel Spacing,112~210 mm
3,BIKE-TRAINER-001,Bicycle Riding Platform,适配尺寸,Wheel Size,26-28 inch and 700 C
